Year,category_type,satisfaction_index,City
2005,"Accessibility of city streets, sidewalks, buildings for people with disabilities",0.0,Kansas City
2005,How would you rate On-street bicycle infrastructure (bike lanes/signs/sharrows),0.0,Kansas City
2005,Enforcing the clean up of litter and debris on private property,21.0,Kansas City
2005,Enforcing the mowing and cutting of weeds on private property,20.0,Kansas City
2005,Enforcing the exterior maintenance of residential property,22.0,Kansas City
2005,"Enforcing the clean-up of litter, mowing of weeds and exterior maintenance of residential property in YOUR neighborhood",0.0,Kansas City
2005,Boarding of Vacant Structures,0.0,Kansas City
2005,Demolition of Vacant Structures,0.0,Kansas City
2005,Enforcing the removal of signs in the right of way,0.0,Kansas City
2005,Timeliness of the removal of abandoned cars from public property,28.0,Kansas City
2005,Enforcing the property maintenance of vacant structures,0.0,Kansas City
2005,Quality of animal control,34.0,Kansas City
2005,Enforcement of Animal Code,0.0,Kansas City
2005,Customer Service Provided by Animal Control Officer,0.0,Kansas City
2005,Animal Shelter Operations,0.0,Kansas City
2005,"Protecting the public from new or unusual health threats such as anthrax, the H1N1 influenza (“flu”) virus, and any new outbreak.",0.0,Kansas City
2005,Guarding against food poisoning through restaurant inspections,0.0,Kansas City
2005,"Protecting the public from exposure to environmental risks such as air pollution, lead poisoning, and swimming pool contamination.",0.0,Kansas City
2005,"Encouraging access to healthy fruits and vegetables, safe places to exercise, and non-smoking environments",0.0,Kansas City
2005,Encouraging access to healthy fruits and vegetables and safe places to exercise,0.0,Kansas City
2005,"Communicating information regarding public health concerns such as excessive heat, second hand smoke, violence prevention, and maternal and child health",0.0,Kansas City
2005,"Preventing the spread of infectious diseases through childhood vaccination programs, STD/HIV treatment and prevention services, and tuberculosis (TB) and hepatitis control.",0.0,Kansas City
2005,"Providing Services for Families and Children such as Childhood Vaccinations, Lead Screening, and Healthy Home Inspections",0.0,Kansas City
2005,Ease of utilizing 311 services via phone,0.0,Kansas City
2005,Ease of utilizing 311 services via web,0.0,Kansas City
2005,Courtesy and professionalism of 311 calltakers,0.0,Kansas City
2005,How well your question or issue was resolved via 311,0.0,Kansas City
2005,The availability of information about city programs and services,32.0,Kansas City
2005,Overall usefulness of the city's website,0.0,Kansas City
2005,The level of public involvement in local decision making,22.0,Kansas City
2005,Opportunity to Engage/Provide input into Decisions Made by The City,0.0,Kansas City
2005,"The quality of Kansas City, Missouri's government cable television channel (Channel 2)",0.0,Kansas City
2005,The quality of city video programming including city television channel (Channel 2) and web streaming,0.0,Kansas City
2005,The content in the City's magazine KCMore,0.0,Kansas City
2005,The City's Use of Social Media,0.0,Kansas City
2005,Watched Channel 2 in the last year,0.0,Kansas City
2005,Maintenance of city parks,49.0,Kansas City
2005,Quality of facilities such as picnic shelters and playgrounds in city parks,0.0,Kansas City
2005,"Quality of outdoor athletic fields (i.e. baseball, soccer, and football)",41.0,Kansas City
2005,Maintenance of boulevards and parkways,49.0,Kansas City
2005,Walking and biking trails in the city,37.0,Kansas City
2005,City swimming pools and programs,27.0,Kansas City
2005,The city's youth programs and actvities,32.0,Kansas City
2005,"Maintenance of Kansas City, Missouri, community centers",35.0,Kansas City
2005,"Programs and activities at Kansas City, Missouri, community centers",0.0,Kansas City
2005,Ease of registering for [Parks and Recreation] programs,30.0,Kansas City
2005,The reasonableness of fees charged for recreation programs,32.0,Kansas City
2005,Tree trimming and other tree case along city streets and other public areas,34.0,Kansas City
2005,Quality of communication from Parks and Rec,0.0,Kansas City
2005,Quality of customer service from Parks employees,0.0,Kansas City
2005,Overall quality of trash collection services,58.0,Kansas City
2005,Overall quality of recycling collection services,0.0,Kansas City
2005,Overall Quality of Recycling Drop Off Centers,0.0,Kansas City
2005,Overall quality of bulky item pick-up services,0.0,Kansas City
2005,Overal quality of leaf and brush pick-up services,0.0,Kansas City
2005,Overall Quality of Leaf and Brush Pick-up Services,0.0,Kansas City
2005,Overall cleanliness of city streets and other public areas,30.0,Kansas City
2005,City efforts to clean up illegal dumping sites,0.0,Kansas City
2005,Ease of moving through airport security,0.0,Kansas City
2005,Availability of parking [at airport],0.0,Kansas City
2005,Price of parking [at airport],0.0,Kansas City
2005,Helpfulness of signs and other directions,0.0,Kansas City
2005,"Food, beverage, and other concessions",0.0,Kansas City
2005,Cleanliness of facilities,0.0,Kansas City
2005,Condition of catch basins (storm drains) in your neighborhood,0.0,Kansas City
2005,Timeliness of water/sewer line break repairs,0.0,Kansas City
2005,Quality of Water Services customer service,0.0,Kansas City
2005,Overall quality of leadership provided by the city's elected officials,26.0,Kansas City
2005,Overall effectiveness of the city manager and appointed staff,30.0,Kansas City
2005,How ethically the city conducts business,0.0,Kansas City
2005,"Were you or anyone in your household the victim of any crime in Kansas City, Missouri, during the last year?",0.0,Kansas City
2005,Have You had Contact with a KCPD Police Officer,0.0,Kansas City
2005,"Have any members of your household used the Kansas City, Missouri, ambulance service in the last year?",0.0,Kansas City
2005,Have you or anyone in your household contacted 311 in the last year?,0.0,Kansas City
2005,Have you visited the city's website in the last year?,0.0,Kansas City
2005,Have you used the bulky item pick-up service in the last year?,0.0,Kansas City
2005,"Have you visited a Kansas City, Missouri, community center in the last year?",0.0,Kansas City
2005,"Have any members of your household visited any parks in Kansas City, Missouri, in the last year?",0.0,Kansas City
2005,Have you used public transportation in the last year?,0.0,Kansas City
2005,"Have any members of your household attended or watched any Kansas City, Missouri, public meeting in the last year?",0.0,Kansas City
2005,Do you have regular access to the internet at home or work?,0.0,Kansas City
2005,Do You Have Internet Access at Home,0.0,Kansas City
2005,Have you been to municipal court in the last year?,0.0,Kansas City
2005,Have you visited the Kansas City International Airport in the last year?,0.0,Kansas City
2005,Have you contacted Water Services regarding your account in the last year?,0.0,Kansas City
2005,"Did you vote in any Kansas City, Missouri, municipal election during the last two years?",0.0,Kansas City
2005,Own a cat or dog,0.0,Kansas City
2005,Weekly use of the city's curbside recycling services,0.0,Kansas City
2005,"Do you think you will be living in Kansas City, Missouri, five years from now?",0.0,Kansas City
2005,Own your current residence,83.0,Kansas City
2005,"Median number of years living in Kansas City, MO",33.0,Kansas City
2005,Preventing the spread of infectious diseases through STD/HIV treatment and prevention services and TB and hepatitis control,0.0,Kansas City
2005,Have you used the KCATA bus system in the last year?,0.0,Kansas City
2005,Have you used the Kansas City Streetcar in the last year?,0.0,Kansas City
2006,"How would you rate Kansas City, Missouri, as a place to live (Good/Excellent)",71.0,Kansas City
2006,"How would you rate Kansas City, Missouri, as a place to raise children (Good/Excellent)",54.0,Kansas City
2006,"How would you rate Kansas City, Missouri, as a place to work (Good/Excellent)",65.0,Kansas City
2006,"Overall quality of services provided by the City of Kansas City, Missouri",49.0,Kansas City
2006,Overall value that you receive for your city tax dollars and fees,30.0,Kansas City
2006,Overall image of the city,48.0,Kansas City
2006,Overall quality of life in the city,56.0,Kansas City
2006,Overall feeling of safety in the city,33.0,Kansas City
2006,How safe you feel in your neighborhood,0.0,Kansas City
2006,Overall quality of education system within the City,0.0,Kansas City
2006,Physical Appearance of Your Neighborhood,0.0,Kansas City
2006,Overall quality of police services,0.0,Kansas City
2006,Overall quality of fire and ambulance services,0.0,Kansas City
2006,"Overall maintenance of city streets, sidewalks, and infrastructure",0.0,Kansas City
2006,Overall quality of solid waste services (e.g. residential trash and recycling collection),0.0,Kansas City
2006,Overall quality of city water utilities,60.0,Kansas City
2006,"Overall quality of neighborhood services (e.g. code enforcement, property preservation, animal control)",0.0,Kansas City
2006,Overall quality of city parks and recreation programs and facilities,57.0,Kansas City
2006,Overall quality of Health Department services,0.0,Kansas City
2006,Overall quality of airport facilities,74.0,Kansas City
2006,Overall quality of the city's 311 service,0.0,Kansas City
2006,The city's municipal court,34.0,Kansas City
2006,Overall quality of customer service you receive from city employees,46.0,Kansas City
2006,Overall effectiveness of city communication with the public,37.0,Kansas City
2006,Overall quality of the city's stormwater runoff/stormwater management system,38.0,Kansas City
2006,Overall quality of public transportation,0.0,Kansas City
2006,Effectiveness of local police protection,0.0,Kansas City
2006,The visibility of police in neighborhoods,41.0,Kansas City
2006,The city's overall efforts to prevent crime,35.0,Kansas City
2006,Enforcement of local traffic laws,48.0,Kansas City
2006,Parking enforcement services,0.0,Kansas City
2006,How quickly police respond to emergencies,0.0,Kansas City
2006,Overall quality of local fire protection and rescue services,81.0,Kansas City
2006,How quickly fire and rescue personnel respond to emergencies,0.0,Kansas City
2006,Quality of local emergency medical service,72.0,Kansas City
2006,How quickly emergency medical personnel respond to emergencies,0.0,Kansas City
2006,Maintenance of city streets,23.0,Kansas City
2006,Maintenance of streets in your neighborhood,35.0,Kansas City
2006,Condition of sidewalks in the city,22.0,Kansas City
2006,Condition of sidewalks in your neighborhood,0.0,Kansas City
2006,Maintenance of street signs and traffic signals,0.0,Kansas City
2006,Snow removal on major city streets during the past 12 months,58.0,Kansas City
2006,Snow removal on residential streets during the past 12 months,30.0,Kansas City
2006,Adequacy of city street lighting,61.0,Kansas City
2006,"Accessibility of city streets, sidewalks, buildings for people with disabilities",0.0,Kansas City
2006,How would you rate On-street bicycle infrastructure (bike lanes/signs/sharrows),0.0,Kansas City
2006,Enforcing the clean up of litter and debris on private property,22.0,Kansas City
2006,Enforcing the mowing and cutting of weeds on private property,23.0,Kansas City
2006,Enforcing the exterior maintenance of residential property,26.0,Kansas City
2006,"Enforcing the clean-up of litter, mowing of weeds and exterior maintenance of residential property in YOUR neighborhood",0.0,Kansas City
2006,Boarding of Vacant Structures,0.0,Kansas City
2006,Demolition of Vacant Structures,0.0,Kansas City
2006,Enforcing the removal of signs in the right of way,0.0,Kansas City
2006,Timeliness of the removal of abandoned cars from public property,31.0,Kansas City
2006,Enforcing the property maintenance of vacant structures,0.0,Kansas City
2006,Quality of animal control,34.0,Kansas City
2006,Enforcement of Animal Code,0.0,Kansas City
2006,Customer Service Provided by Animal Control Officer,0.0,Kansas City
2006,Animal Shelter Operations,0.0,Kansas City
2006,"Protecting the public from new or unusual health threats such as anthrax, the H1N1 influenza (“flu”) virus, and any new outbreak.",0.0,Kansas City
2006,Guarding against food poisoning through restaurant inspections,0.0,Kansas City
2006,"Protecting the public from exposure to environmental risks such as air pollution, lead poisoning, and swimming pool contamination.",0.0,Kansas City
2006,"Encouraging access to healthy fruits and vegetables, safe places to exercise, and non-smoking environments",0.0,Kansas City
2006,Encouraging access to healthy fruits and vegetables and safe places to exercise,0.0,Kansas City
2006,"Communicating information regarding public health concerns such as excessive heat, second hand smoke, violence prevention, and maternal and child health",0.0,Kansas City
2006,"Preventing the spread of infectious diseases through childhood vaccination programs, STD/HIV treatment and prevention services, and tuberculosis (TB) and hepatitis control.",0.0,Kansas City
2006,"Providing Services for Families and Children such as Childhood Vaccinations, Lead Screening, and Healthy Home Inspections",0.0,Kansas City
2006,Ease of utilizing 311 services via phone,0.0,Kansas City
2006,Ease of utilizing 311 services via web,0.0,Kansas City
2006,Courtesy and professionalism of 311 calltakers,0.0,Kansas City
2006,How well your question or issue was resolved via 311,0.0,Kansas City
2006,The availability of information about city programs and services,37.0,Kansas City
2006,Overall usefulness of the city's website,0.0,Kansas City
2006,The level of public involvement in local decision making,23.0,Kansas City
2006,Opportunity to Engage/Provide input into Decisions Made by The City,0.0,Kansas City
2006,"The quality of Kansas City, Missouri's government cable television channel (Channel 2)",0.0,Kansas City
2006,The quality of city video programming including city television channel (Channel 2) and web streaming,0.0,Kansas City
2006,The content in the City's magazine KCMore,0.0,Kansas City
2006,The City's Use of Social Media,0.0,Kansas City
2006,Watched Channel 2 in the last year,0.0,Kansas City
2006,Maintenance of city parks,55.0,Kansas City
2006,Quality of facilities such as picnic shelters and playgrounds in city parks,0.0,Kansas City
2006,"Quality of outdoor athletic fields (i.e. baseball, soccer, and football)",43.0,Kansas City
2006,Maintenance of boulevards and parkways,55.0,Kansas City
2006,Walking and biking trails in the city,40.0,Kansas City
2006,City swimming pools and programs,31.0,Kansas City
2006,The city's youth programs and actvities,35.0,Kansas City
2006,"Maintenance of Kansas City, Missouri, community centers",42.0,Kansas City
2006,"Programs and activities at Kansas City, Missouri, community centers",0.0,Kansas City
2006,Ease of registering for [Parks and Recreation] programs,35.0,Kansas City
2006,The reasonableness of fees charged for recreation programs,34.0,Kansas City
2006,Tree trimming and other tree case along city streets and other public areas,39.0,Kansas City
2006,Quality of communication from Parks and Rec,0.0,Kansas City
2006,Quality of customer service from Parks employees,0.0,Kansas City
2006,Overall quality of trash collection services,65.0,Kansas City
2006,Overall quality of recycling collection services,0.0,Kansas City
2006,Overall Quality of Recycling Drop Off Centers,0.0,Kansas City
2006,Overall quality of bulky item pick-up services,0.0,Kansas City
2006,Overal quality of leaf and brush pick-up services,0.0,Kansas City
2006,Overall Quality of Leaf and Brush Pick-up Services,0.0,Kansas City
2006,Overall cleanliness of city streets and other public areas,36.0,Kansas City
2006,City efforts to clean up illegal dumping sites,0.0,Kansas City
2006,Ease of moving through airport security,0.0,Kansas City
2006,Availability of parking [at airport],0.0,Kansas City
2006,Price of parking [at airport],0.0,Kansas City
2006,Helpfulness of signs and other directions,0.0,Kansas City
2006,"Food, beverage, and other concessions",0.0,Kansas City
2006,Cleanliness of facilities,0.0,Kansas City
2006,Condition of catch basins (storm drains) in your neighborhood,0.0,Kansas City
2006,Timeliness of water/sewer line break repairs,0.0,Kansas City
2006,Quality of Water Services customer service,0.0,Kansas City
2006,Overall quality of leadership provided by the city's elected officials,30.0,Kansas City
2006,Overall effectiveness of the city manager and appointed staff,34.0,Kansas City
2006,How ethically the city conducts business,0.0,Kansas City
2006,"Were you or anyone in your household the victim of any crime in Kansas City, Missouri, during the last year?",15.0,Kansas City
2006,Have You had Contact with a KCPD Police Officer,0.0,Kansas City
2006,"Have any members of your household used the Kansas City, Missouri, ambulance service in the last year?",14.0,Kansas City
2006,Have you or anyone in your household contacted 311 in the last year?,0.0,Kansas City
2006,Have you visited the city's website in the last year?,0.0,Kansas City
2006,Have you used the bulky item pick-up service in the last year?,0.0,Kansas City
2006,"Have you visited a Kansas City, Missouri, community center in the last year?",0.0,Kansas City
2006,"Have any members of your household visited any parks in Kansas City, Missouri, in the last year?",0.0,Kansas City
2006,Have you used public transportation in the last year?,0.0,Kansas City
2006,"Have any members of your household attended or watched any Kansas City, Missouri, public meeting in the last year?",0.0,Kansas City
2006,Do you have regular access to the internet at home or work?,0.0,Kansas City
2006,Do You Have Internet Access at Home,0.0,Kansas City
2006,Have you been to municipal court in the last year?,22.0,Kansas City
2006,Have you visited the Kansas City International Airport in the last year?,0.0,Kansas City
2006,Have you contacted Water Services regarding your account in the last year?,0.0,Kansas City
2006,"Did you vote in any Kansas City, Missouri, municipal election during the last two years?",0.0,Kansas City
2006,Own a cat or dog,0.0,Kansas City
2006,Weekly use of the city's curbside recycling services,0.0,Kansas City
2006,"Do you think you will be living in Kansas City, Missouri, five years from now?",0.0,Kansas City
2006,Own your current residence,84.0,Kansas City
2006,"Median number of years living in Kansas City, MO",35.0,Kansas City
2006,Preventing the spread of infectious diseases through STD/HIV treatment and prevention services and TB and hepatitis control,0.0,Kansas City
2006,Have you used the KCATA bus system in the last year?,0.0,Kansas City
2006,Have you used the Kansas City Streetcar in the last year?,0.0,Kansas City
2007,"How would you rate Kansas City, Missouri, as a place to live (Good/Excellent)",70.0,Kansas City
2007,"How would you rate Kansas City, Missouri, as a place to raise children (Good/Excellent)",54.0,Kansas City
2007,"How would you rate Kansas City, Missouri, as a place to work (Good/Excellent)",65.0,Kansas City
2007,"Overall quality of services provided by the City of Kansas City, Missouri",52.0,Kansas City
2007,Overall value that you receive for your city tax dollars and fees,32.0,Kansas City
2007,Overall image of the city,48.0,Kansas City
2007,Overall quality of life in the city,57.0,Kansas City
2007,Overall feeling of safety in the city,36.0,Kansas City
2007,How safe you feel in your neighborhood,0.0,Kansas City
2007,Overall quality of education system within the City,0.0,Kansas City
2007,Physical Appearance of Your Neighborhood,0.0,Kansas City
2007,Overall quality of police services,57.0,Kansas City
2007,Overall quality of fire and ambulance services,0.0,Kansas City
2007,"Overall maintenance of city streets, sidewalks, and infrastructure",0.0,Kansas City
2007,Overall quality of solid waste services (e.g. residential trash and recycling collection),0.0,Kansas City
2007,Overall quality of city water utilities,63.0,Kansas City
2007,"Overall quality of neighborhood services (e.g. code enforcement, property preservation, animal control)",0.0,Kansas City
2007,Overall quality of city parks and recreation programs and facilities,55.0,Kansas City
2007,Overall quality of Health Department services,0.0,Kansas City
2007,Overall quality of airport facilities,74.0,Kansas City
2007,Overall quality of the city's 311 service,0.0,Kansas City
2007,The city's municipal court,40.0,Kansas City
2007,Overall quality of customer service you receive from city employees,50.0,Kansas City
2007,Overall effectiveness of city communication with the public,39.0,Kansas City
2007,Overall quality of the city's stormwater runoff/stormwater management system,40.0,Kansas City
2007,Overall quality of public transportation,0.0,Kansas City
2007,Effectiveness of local police protection,0.0,Kansas City
2007,The visibility of police in neighborhoods,46.0,Kansas City
2007,The city's overall efforts to prevent crime,40.0,Kansas City
2007,Enforcement of local traffic laws,50.0,Kansas City
2007,Parking enforcement services,0.0,Kansas City
2007,How quickly police respond to emergencies,0.0,Kansas City
2007,Overall quality of local fire protection and rescue services,79.0,Kansas City
2007,How quickly fire and rescue personnel respond to emergencies,0.0,Kansas City
2007,Quality of local emergency medical service,70.0,Kansas City
2007,How quickly emergency medical personnel respond to emergencies,0.0,Kansas City
2007,Maintenance of city streets,26.0,Kansas City
2007,Maintenance of streets in your neighborhood,38.0,Kansas City
2007,Condition of sidewalks in the city,24.0,Kansas City
2007,Condition of sidewalks in your neighborhood,0.0,Kansas City
2007,Maintenance of street signs and traffic signals,0.0,Kansas City
2007,Snow removal on major city streets during the past 12 months,59.0,Kansas City
2007,Snow removal on residential streets during the past 12 months,36.0,Kansas City
2007,Adequacy of city street lighting,62.0,Kansas City
2007,"Accessibility of city streets, sidewalks, buildings for people with disabilities",0.0,Kansas City
2007,How would you rate On-street bicycle infrastructure (bike lanes/signs/sharrows),0.0,Kansas City
2007,Enforcing the clean up of litter and debris on private property,26.0,Kansas City
2007,Enforcing the mowing and cutting of weeds on private property,26.0,Kansas City
2007,Enforcing the exterior maintenance of residential property,29.0,Kansas City
2007,"Enforcing the clean-up of litter, mowing of weeds and exterior maintenance of residential property in YOUR neighborhood",0.0,Kansas City
2007,Boarding of Vacant Structures,0.0,Kansas City
2007,Demolition of Vacant Structures,0.0,Kansas City
2007,Enforcing the removal of signs in the right of way,0.0,Kansas City
2007,Timeliness of the removal of abandoned cars from public property,35.0,Kansas City
2007,Enforcing the property maintenance of vacant structures,0.0,Kansas City
2007,Quality of animal control,40.0,Kansas City
2007,Enforcement of Animal Code,0.0,Kansas City
2007,Customer Service Provided by Animal Control Officer,0.0,Kansas City
2007,Animal Shelter Operations,0.0,Kansas City
2007,"Protecting the public from new or unusual health threats such as anthrax, the H1N1 influenza (“flu”) virus, and any new outbreak.",0.0,Kansas City
2007,Guarding against food poisoning through restaurant inspections,0.0,Kansas City
2007,"Protecting the public from exposure to environmental risks such as air pollution, lead poisoning, and swimming pool contamination.",0.0,Kansas City
2007,"Encouraging access to healthy fruits and vegetables, safe places to exercise, and non-smoking environments",0.0,Kansas City
2007,Encouraging access to healthy fruits and vegetables and safe places to exercise,0.0,Kansas City
2007,"Communicating information regarding public health concerns such as excessive heat, second hand smoke, violence prevention, and maternal and child health",0.0,Kansas City
2007,"Preventing the spread of infectious diseases through childhood vaccination programs, STD/HIV treatment and prevention services, and tuberculosis (TB) and hepatitis control.",0.0,Kansas City
2007,"Providing Services for Families and Children such as Childhood Vaccinations, Lead Screening, and Healthy Home Inspections",0.0,Kansas City
2007,Ease of utilizing 311 services via phone,0.0,Kansas City
2007,Ease of utilizing 311 services via web,0.0,Kansas City
2007,Courtesy and professionalism of 311 calltakers,0.0,Kansas City
2007,How well your question or issue was resolved via 311,0.0,Kansas City
2007,The availability of information about city programs and services,40.0,Kansas City
2007,Overall usefulness of the city's website,0.0,Kansas City
2007,The level of public involvement in local decision making,26.0,Kansas City
2007,Opportunity to Engage/Provide input into Decisions Made by The City,0.0,Kansas City
2007,"The quality of Kansas City, Missouri's government cable television channel (Channel 2)",0.0,Kansas City
2007,The quality of city video programming including city television channel (Channel 2) and web streaming,0.0,Kansas City
2007,The content in the City's magazine KCMore,0.0,Kansas City
2007,The City's Use of Social Media,0.0,Kansas City
2007,Watched Channel 2 in the last year,0.0,Kansas City
2007,Maintenance of city parks,55.0,Kansas City
2007,Quality of facilities such as picnic shelters and playgrounds in city parks,0.0,Kansas City
2007,"Quality of outdoor athletic fields (i.e. baseball, soccer, and football)",46.0,Kansas City
2007,Maintenance of boulevards and parkways,55.0,Kansas City
2007,Walking and biking trails in the city,40.0,Kansas City
2007,City swimming pools and programs,35.0,Kansas City
2007,The city's youth programs and actvities,39.0,Kansas City
2007,"Maintenance of Kansas City, Missouri, community centers",43.0,Kansas City
2007,"Programs and activities at Kansas City, Missouri, community centers",0.0,Kansas City
2007,Ease of registering for [Parks and Recreation] programs,38.0,Kansas City
2007,The reasonableness of fees charged for recreation programs,37.0,Kansas City
2007,Tree trimming and other tree case along city streets and other public areas,42.0,Kansas City
2007,Quality of communication from Parks and Rec,0.0,Kansas City
2007,Quality of customer service from Parks employees,0.0,Kansas City
2007,Overall quality of trash collection services,65.0,Kansas City
2007,Overall quality of recycling collection services,0.0,Kansas City
2007,Overall Quality of Recycling Drop Off Centers,0.0,Kansas City
2007,Overall quality of bulky item pick-up services,0.0,Kansas City
2007,Overal quality of leaf and brush pick-up services,0.0,Kansas City
2007,Overall Quality of Leaf and Brush Pick-up Services,0.0,Kansas City
2007,Overall cleanliness of city streets and other public areas,38.0,Kansas City
2007,City efforts to clean up illegal dumping sites,0.0,Kansas City
2007,Ease of moving through airport security,0.0,Kansas City
2007,Availability of parking [at airport],0.0,Kansas City
2007,Price of parking [at airport],0.0,Kansas City
2007,Helpfulness of signs and other directions,0.0,Kansas City
2007,"Food, beverage, and other concessions",0.0,Kansas City
2007,Cleanliness of facilities,0.0,Kansas City
2007,Condition of catch basins (storm drains) in your neighborhood,0.0,Kansas City
2007,Timeliness of water/sewer line break repairs,0.0,Kansas City
2007,Quality of Water Services customer service,0.0,Kansas City
2007,Overall quality of leadership provided by the city's elected officials,31.0,Kansas City
2007,Overall effectiveness of the city manager and appointed staff,34.0,Kansas City
2007,How ethically the city conducts business,0.0,Kansas City
2007,"Were you or anyone in your household the victim of any crime in Kansas City, Missouri, during the last year?",15.0,Kansas City
2007,Have You had Contact with a KCPD Police Officer,0.0,Kansas City
2007,"Have any members of your household used the Kansas City, Missouri, ambulance service in the last year?",14.0,Kansas City
2007,Have you or anyone in your household contacted 311 in the last year?,25.0,Kansas City
2007,Have you visited the city's website in the last year?,0.0,Kansas City
2007,Have you used the bulky item pick-up service in the last year?,0.0,Kansas City
2007,"Have you visited a Kansas City, Missouri, community center in the last year?",53.0,Kansas City
2007,"Have any members of your household visited any parks in Kansas City, Missouri, in the last year?",0.0,Kansas City
2007,Have you used public transportation in the last year?,0.0,Kansas City
2007,"Have any members of your household attended or watched any Kansas City, Missouri, public meeting in the last year?",0.0,Kansas City
2007,Do you have regular access to the internet at home or work?,0.0,Kansas City
2007,Do You Have Internet Access at Home,0.0,Kansas City
2007,Have you been to municipal court in the last year?,17.0,Kansas City
2007,Have you visited the Kansas City International Airport in the last year?,0.0,Kansas City
2007,Have you contacted Water Services regarding your account in the last year?,0.0,Kansas City
2007,"Did you vote in any Kansas City, Missouri, municipal election during the last two years?",0.0,Kansas City
2007,Own a cat or dog,0.0,Kansas City
2007,Weekly use of the city's curbside recycling services,0.0,Kansas City
2007,"Do you think you will be living in Kansas City, Missouri, five years from now?",0.0,Kansas City
2007,Own your current residence,82.0,Kansas City
2007,"Median number of years living in Kansas City, MO",30.0,Kansas City
2007,Preventing the spread of infectious diseases through STD/HIV treatment and prevention services and TB and hepatitis control,0.0,Kansas City
2007,Have you used the KCATA bus system in the last year?,0.0,Kansas City
2007,Have you used the Kansas City Streetcar in the last year?,0.0,Kansas City
2008,"How would you rate Kansas City, Missouri, as a place to live (Good/Excellent)",71.0,Kansas City
2008,"How would you rate Kansas City, Missouri, as a place to raise children (Good/Excellent)",52.0,Kansas City
2008,"How would you rate Kansas City, Missouri, as a place to work (Good/Excellent)",65.0,Kansas City
2008,"Overall quality of services provided by the City of Kansas City, Missouri",46.0,Kansas City
2008,Overall value that you receive for your city tax dollars and fees,28.0,Kansas City
2008,Overall image of the city,45.0,Kansas City
2008,Overall quality of life in the city,56.0,Kansas City
2008,Overall feeling of safety in the city,37.0,Kansas City
2008,How safe you feel in your neighborhood,0.0,Kansas City
2008,Overall quality of education system within the City,0.0,Kansas City
2008,Physical Appearance of Your Neighborhood,0.0,Kansas City
2008,Overall quality of police services,56.0,Kansas City
2008,Overall quality of fire and ambulance services,0.0,Kansas City
2008,"Overall maintenance of city streets, sidewalks, and infrastructure",0.0,Kansas City
2008,Overall quality of solid waste services (e.g. residential trash and recycling collection),0.0,Kansas City
2008,Overall quality of city water utilities,59.0,Kansas City
2008,"Overall quality of neighborhood services (e.g. code enforcement, property preservation, animal control)",0.0,Kansas City
2008,Overall quality of city parks and recreation programs and facilities,54.0,Kansas City
