Ground_Truth,Prediction,Occurences
tvmonitor,cat,0
tvmonitor,chair,2
tvmonitor,cow,0
tvmonitor,diningtable,0
tvmonitor,dog,1
tvmonitor,horse,0
tvmonitor,motorbike,0
tvmonitor,person,1
tvmonitor,pottedplant,2
tvmonitor,sheep,0
tvmonitor,sofa,2
tvmonitor,train,0
tvmonitor,tvmonitor,0
